Country,Minimum wage,Annual,Annual.1,Workweek (hours)[4],Hourly,Hourly.1,Percent of GDP per capita[5],Effective per
Saint Vincent and the Grenadines,"Set sector by sector; for example, EC$56 ($20.74) per day for agriculture workers (shelter not provided); EC$40 (US$14.81) per day for industrial workers; and EC$25 per day for household domestic workers.[10][206][207]",2407,3351,40,1.16,1.61,29.2%,1 July 2008
Samoa,WS$2 (US$0.89) per hour for the private sector; WS$2.65 (US$1.18) for the public sector.[10],1625,2237,40,0.78,1.08,35.1%,2012
San Marino,€1501.49 (US$1735) per month; or €9.24 (US$10) per hour for the lowest paying industry[208][10][209],21310,23400,37.5[210],10.93,12,38.4%,1 January 2017
São Tomé and Príncipe,"None; Db 750,000 (US$40) per month for civil servants[82]",,,,,,,2013
Saudi Arabia,"SRls 4,000 (US$1066,66) per month for public sector; does not apply to foreign workers. There are no minimum wage in private sector.[10][211]",12800,24742,48,5.13,9.91,45.5%,2 February 2013
Senegal,F.CFA 209.1 (US$0.42) per hour for general workers and F.CFA 182.95 (US$0.37) per hour for agricultural workers.[10][18][212],686,1617,40,0.33,0.78,63%,1 January 1996
Serbia,"DIN 53,915 (460eu or $510) monthly.[213]",3610,7291,40,1.74,3.51,50.2%,1 January 2022
Seychelles,SRs 26/70 (US$1.9) per hour for all workers other than casual workers; SRs 30/78 (US$2.1) per hour for casual workers.[10][214][215],3282,6435,40[216],1.58,3.09,22.7%,1 January 2014
Sierra Leone,"Le 500,000 (US$57) per month.[10][217][218][219]",575,2602,40,0.28,1.25,176.2%,1 January 2015
Singapore,"None.[10] However, two exceptions: 1) Cleaner jobs to have a minimum wage of S$1,200 (US$860) per month effective July 2019.[220] 2) Security guards to have a minimum wage of S$1,100 ($802) per month effective September 2016.[221]",,,44,,,,2019
Slovakia,"€700 (US$828) per month, or €4.03 (US$4.77) per hour.[18][222]",9914,15241,40,4.77,7.33,50%,1 January 2023
Slovenia,€1203.36 (US$1423) per month.[18][37][223],17079,21553,40,8.21,10.36,65.9%,1 January 2023
Solomon Islands,"SI$4 (US$0.55) per hour for all workers except those in the fishing and agricultural sectors, who received SI$3.2 per hour.[10]",933,955,45,0.4,0.41,42.7%,1 May 2008
Somalia,None.[10],,,48,,,,2013
South Africa,"R 23.19 (US$1.34) per hour for all workers, except for Expanded Public Works Programme workers who have a minimum of R 12.75 (US$0.74).[224]",3671,10316,45,1.57,4.41,78.2%,1 March 2022
South Sudan,None.[225],,,,,,,2011
Spain,"€1,260 (US$1455) per month in 12 payments, €1,080 (US$1277) per month in 14 payments.[226]",17457,19946,40,8.39,9.59,54.9%,1 January 2023
Sri Lanka,"SL Rs. 10,000/- (US$70.75) per month.The minimum wages are set according to National Minimum Wage of Workers Act, No. 3 of 2016[18]",603,2414,48,0.24,0.97,19.6%,1 January 2016
Sudan,LS 425 (US$0.95 as of August 2021) per month.[227] See Minimum wage in Sudan.,13,1087,40,0.01,0.52,23%,2013
Suriname,None; Sur$20 (US$0.66) per hour for household domestics and shop assistants; the Ministry of Labour recommends all other sectors use this as the de facto minimum wage. .,,,40,,,,2022
Sweden,"None; in Sweden the law provides for the right of workers to form and join independent unions to bargain wages collectively, and it prohibits antiunion discrimination.[10]",,,40,,,,2017
Switzerland,"SFr 20 (US$21.98) per hour in the cantons Jura and Neuchâtel, the rest of the country has no minimum wage.[228] There are a minority of the voluntary General Labour Contracts (GLC, collective labour agreements), reached on a sector-by-sector basis,[229] contain minimum compensation clauses, which provide for compensation ranging from SFr 2,200 to SFr 4,200 (US$2418 to US$4615) per month for unskilled workers and SFr 2,800 to SFr 5,300 (US$3077 to US$5824) per month for skilled employees.[10] On 18 May 2014, Swiss voters rejected a federal initiative (by 76.3%) that would have enforced GLCs for every sector and set the hourly minimum wage at SFr 22 (US$24.18, or PPP-adjusted US$12.55).[230][231]",,,41.7[232][233],,,,2014
Syria,"LS 9,765 to LS 14,760 (US$6–US$10)(adjusted for inflation) per month, plus benefits, including compensation for meals, uniforms, and transportation.[82]",96,2850,40,0.4,1.37,54%,2013
Taiwan,"NT$27,470 (US$853) per month; NT$183 (US$5.7) per hour is the minimum wage in Taiwan.[234]",11973,23432,40,5.76,11.27,33.7%,1 January 2024
Tajikistan,"SM 250 (US$31) per month, plus certain government subsidies for workers and their families.[82][235]",265,1288,40,0.13,0.62,43.2%,1 September 2013
Tanzania,"Varies by sector from TSh. 40,000/= (US$17) per month, to TSh. 400,000/= (US$174) per month.[10][18]",209,593,45[236],0.09,0.25,21.3%,1 July 2013
Thailand,"Ranges from ฿328 to ฿354 (US$9.01–US$9.72) per day and up, depending on the cost of living in various provinces; set by provincial tripartite wage committees that sometimes include only employer representatives.[237]",3733,9313,48,1.5,3.73,55.1%,1 January 2023
Timor-Leste,US$115 per month.[10][238],1380,2123,44,0.6,0.93,99.2%,22 June 2012
Togo,"F.CFA 35,000 (US$70) per month.[10][18]",757,1796,40,0.36,0.86,120.5%,1 January 2012
Tonga,None[10],,,40,,,,2013
Trinidad and Tobago,TT$15 (US$355.03) per hour;[239] (US$355) per month,4615,5503,40,2.22,2.65,16.7%,1 January 2015
Tunisia,For the industrial sector: DT 465 (US$166) per month for a 48-hour workweek and DT 401 (US$143) per month for a 40‑hour workweek.[240],2000,6723,48,0.8,2.69,58%,2020
Turkey,"₺13,415 (US$515 per July 2023 exchange rate) gross per month. ₺11,402 (US$438 per July 2023 exchange rate) net per month.[241] Public servants receive minimum 22000 TL per month.",18190,103192,40,8.75,49.61,408.7%,1 July 2023
Tuvalu,"None; the minimum annual salary in the public sector was approximately $A 3,000 to $A 4,000 (US$3,120 to US$4,160).[10]",,,,,,,2013
Uganda,"USh. 130,000/= (US$34.58) per month.[10][18][41]",426,1298,40,0.2,0.62,71.3%,1 July 2017
Ukraine,"₴6,700 (US$183.21) per month,  ₴40.46 (US$1.11) per hour,  annual wage US$2,870[18][242]",2946,13604,40,1.42,6.54,164.5%,1 July 2023
United Arab Emirates,None.[10],,,48,,,,2013
United Kingdom,"The minimum wage in the United Kingdom is: £10.42 stg (US$14.27) per hour for those aged 23+ £10.18 (US$13.95) per hour for those aged 21–22  £7.49 (US$10.26) per hour for those aged 18–20  £5.28 (US$7.23) per hour for those aged 16-17, apprentices aged 16 to 18, and those aged 19 or over who are in their first year of apprenticeship.[243] Employees under the age of 16 aren't entitled to the National Minimum Wage.",29690,27092,40,14.27,13.03,63.5%,1 April 2023
United States,"The federal nationwide minimum wage in the United States is US$7.25 per hour.[244] States may also set a minimum, in which case the higher of the two is controlling; some territories are exempt and have lower rates.[244] As of January 3, 2022[245][246][247] Local government minimum wages exist as well, the highest of which reach to $17.13 per hour.[248]",15080,15080,40,7.25,7.25,26.2%,3 January 2022
Uruguay,"$U 21,107 (US$545) per month.[249]",5816,10810,48,2.33,4.33,50%,2023
Uzbekistan,"920,000 soum (US$84) per month.[250]",1041,8591,40,0.5,4.13,131.9%,1 June 2022
Vanuatu,"VT 30,000 (US$323) per month, VT 170 per hour.[10][251]",3240,3041,40,1.56,1.46,98.7%,20 August 2012
Venezuela,"The minimum wage in Venezuela is Bs. 400,000 per month, including a food bond the total raises up to Bs. 800,000, which is equivalent to about US$0.86 as 26 November 2020.[252][253][254]",10.32,,,,,,1 May 2020
Vietnam,"Varies by region; Region I: VND 4,420,000 per month; Region II: VND 3,920,000 per month; Region III: VND 3,430,000 per month and Region IV: VND 3,070,000 per month.[255]",1591,4089,40,0.76,1.97,65%,1 January 2020
Yemen,"None; the minimum civil service wage was YRls 21,000 ($100) per month.",,,48,,,,2013
Zambia,"Varies by sector; ZK 993.6 (US$81) per month for domestic workers. Shop workers' minimum wage is ZK 1,698.6 with transport, lunch and housing allowances inclusive, and wages increasing according to the grades of employees, with the minimum wage of the highest grade in this category being ZK 3,558.9. In the general workers' category, which includes receptionists and guards among others, the minimum wage for category one workers is ZK 1,698.6, while the highest category is at ZK 3,151.61.[256]",596,3180,48,0.24,1.27,80.8%,10 September 2018
Zimbabwe,"None, except for agricultural and domestic workers; government regulations for each of the 22 industrial sectors specify minimum wages. The minimum wage for all mine workers is currently pegged at $227 per month.[128]",,,,,,,2012
